Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1156,1170,1189,1240,1245,1246,1278,1253,1298,1307,1326,1309,1302,1298,1291,1290,1272,1277,1290,1278,1272,1237,1007,1011,1039,1074,1105,1022,1070,1023,1019,1144,1270,1347,1337,1304,1344,1211,1101,999,963,881.17,843.88,578.4,428.42,632.94,600.18,570.6,545.04,518.66,502.37,489.68,796.82,842.81,869.04,964.41,1057.1,1260,1319.61,1557.32,1627.67,1792,1945,2025,2022,1928,1929,2014.75,1934.56
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711,723.1,735.2,747.3,759.4,771.5,783.6,795.7,807.8,819.9,832,844.1,856.2,868.3,880.4,892.5,904.6,916.7,928.8,940.9,953,966.9,980.8,994.7,1008.6,1022.5,1036.4,1050.3,1064.2,1078.1,1092,1107.1,1122.2,1137.3,1152.4,1167.5,1182.6,1197.7,1212.8,1227.9,1243,1259.6667,1276.3333,1293,1304.4375,1315.875,1327.3125,1338.75,1350.1875,1361.625,1373.0625,1384.5,1395.9375,1407.375,1418.8125,1430.25,1441.6875,1453.125,1464.5625,1476,1481.7143,1487.4286,1493.1429,1498.8571,1504.5714,1510.2857,1516,1521.7143,1527.4286,1533.1429,1538.8571,1544.5714,1550.2857,1556,1561.7143,1567.4286,1573.1429,1578.8571,1584.5714,1590.2857,1596,1666,1667,1736,1785,1882,1902,2023,2114,2201,2313,2332,2409,2491,2576,2670,2770,2876,2979,3080,3194,3322,3451,3623,3637,3649,3665,3681,3696,3716,3741,3762,3783,3805,3826,3846,3870,3894,3920,3948,3983,2942.1,2841.77,3137.02,3399.71,3666.65,3965.69,3526.99,3873.37,4432.04,4808.48,5285.81,5608.96,6004.65,6419.87,6858.47,7347.33,7866.16,8522.13,8859.47,9222.97,9484,9592,9660,9808,10032,10342,10702.12,11104.17
Algeria,685,694.1,703.2,712.3,721.4,730.5,739.6,748.7,757.8,766.9,776,785.1,794.2,803.3,812.4,821.5,830.6,839.7,848.8,857.9,867,876.1,885.2,894.3,903.4,912.5,921.6,930.7,939.8,948.9,958,967.1,976.2,985.3,994.4,1003.5,1012.6,1021.7,1030.8,1039.9,1049,1058.1,1067.2,1076.3,1085.4,1094.5,1103.6,1112.7,1121.8,1130.9,1140,1156.6047,1173.2093,1189.814,1206.4186,1223.0233,1239.6279,1256.2326,1272.8372,1289.4419,1306.0465,1322.6512,1339.2558,1355.8605,1372.4651,1389.0698,1405.6744,1422.2791,1438.8837,1455.4884,1472.093,1488.6977,1505.3023,1521.907,1538.5116,1555.1163,1571.7209,1588.3256,1604.9302,1621.5349,1638.1395,1654.7442,1671.3488,1687.9535,1704.5581,1721.1628,1737.7674,1754.3721,1770.9767,1787.5814,1804.186,1820.7907,1837.3953,1854,1862.7027,1871.4054,1880.1081,1888.8108,1897.5135,1906.2162,1914.9189,1923.6216,1932.3243,1941.027,1949.7297,1958.4324,1967.1351,1975.8378,1984.5405,1993.2432,2001.9459,2010.6486,2019.3514,2028.0541,2036.7568,2045.4595,2054.1622,2062.8649,2071.5676,2080.2703,2088.973,2097.6757,2106.3784,2115.0811,2123.7838,2132.4865,2141.1892,2149.8919,2158.5946,2167.2973,2176,2147,2193,2182,2291,2303,2475,2699,2740,3178,3328,2868,2284,2818,2879,2981,2750,2907,3151,3355,3585,3188,3746,3757,3870,4020,4157,4398,4812,5088,5024,4991,5145,5243,5361,5469,5262,5088,4850,4889,4697,4708.23,4850.22,4816.92,4856.99,5142.38,5451.63,5638.48,6069.78,6421.51,6834.55,7218.25,7814.84,8590.18,9182.29,9969.62,10385.78,10974.74,11475,11907.02,12587.74,13204,13379,13494,13744,14004,14331,14267.23,14228.03
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677,1715,1755,1795,1720,1830,1769,1908,1978,1953,1997,2225,2128,2200,2407,2544,2646,2753,2665,2695,2818,2754,2729,2852,2727,1710,1521,1500,1530,1527,1532,1471,1374,1288,1259,1242,1106,1211,1360,1360,1384,1437.15,1389.33,1080.48,1120.85,1319.16,1533.98,1687.32,1811.17,1899.42,2013.64,2162.49,2522.67,2711.93,3064.3,3708.77,4592.34,5773.55,6743.75,7087.6,7520.67,8016,8190,8508,8673,8689,8453,8146.44,7771.44
Argentina,1591,1604.4333,1617.8667,1631.3,1644.7333,1658.1667,1671.6,1685.0333,1698.4667,1711.9,1725.3333,1738.7667,1752.2,1765.6333,1779.0667,1792.5,1805.9333,1819.3667,1832.8,1846.2333,1859.6667,1873.1,1886.5333,1899.9667,1913.4,1926.8333,1940.2667,1953.7,1967.1333,1980.5667,1994,2010.6,2027.2,2043.8,2060.4,2077,2093.6,2110.2,2126.8,2143.4,2160,2178,2196,2214,2232,2250,2268,2286,2304,2322,2340,2393.2,2446.4,2499.6,2552.8,2606,2611,2820,2619,2664,2557,2541,3108,3373,3486,3904,3771,3841,4219,4288,3851,3631,4251,4409,4968,5384,5716,4500,4741,5412,4583,4591,4331,4769,5086,5545,5608,5514,5829,5896,6092,5971,6223,6052,5263,5171,4927,4447,5177,5271,5536,5533,5796,6213,6464,6247,6366,6625,6840,6961,6503,5917,5614,5772,6129,6296,6236,6575,6491,6612,6633,6861,6829,6666,7299,6943,7436,8112,8372,8045,7949,8086,7519,7769,7938,8348,8424,8705,9083,8354,8861,9344,9049,8695,9446,10155,10076,10200,10485,11217,11639,12003,12170,12691,13284,12946,12696,13236,12444,13114,13080,12125,11550,11775,11837,10895,11515,11633,11244,10393,10254,11223.98,12267.08,12926.79,13571.38,13086.04,13715.23,14722.65,15185.96,14577.83,14368.94,13651.98,12094.77,13088.57,14183.23,15344.16,16490.47,17891.94,18520.3,17328.98,18979.99,20003,19599,19873,19183,19502,18875,19200.91,18556.38
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9806,9732.4286,9658.8571,9585.2857,9511.7143,9438.1429,9364.5714,9291,9548,9809,9865,10181,10485,10394,9789,9301,10525,9669,8141.67,4699.61,4130.15,4392.98,4703.13,4811.49,4836.04,4994.05,5000.45,5139.83,5457.51,6082.15,6743.24,7229.65,8006.96,8798.75,9713.21,10080.81,8399.09,8330.81,8465,9077,9385,9735,10042,10080,10859.38,11454.43
Australia,826,834,858,886,936,982,999,1030,1057,1114,1352,1398,1428,1435,1508,1825,1793,1881,1857,1733,2190,1868,1704,1975,2246,2310,2554,2954,3381,3339,3148,3736,4382,4798,4202,3988,4866,4294,3661,4728,4613,4544,4368,4352,4616,4403,4532,4956,5031,4932,5217,5259,5663,6095,6113,6596,6387,6433,6817,6703,6830,7101,6476,7133,6861,7049,6900,7383,7179,7567,7106,7438,6368,5910,6003,5558,5874,5451,6202,6121,6397,6119,6094,6497,6846,6825,7184,7358,7481,7940,8305,8136,8126,8220,8013,7806,7775,7637,7336,7517,7597,7828,8072,8276,8635,8851,8883,8837,8690,8389,7504,6940,7275,7718,8066,8477,8792,9159,9382,9318,9828,10820,11963,12278,11735,11026,10512,10622,11105,11536,11815,11966,11824,11963,12419,12795,12924,12895,13238,13753,14013,13793,14389,14983,15699,16182,16324,17108,17770,18428,19166,19590,19772,20527,20698,20993,21613,21592,21948,22826,22972,23368,22972,22697,24009,24927,25116,25971,26702,27407,27373,26861.28,27560.18,28622.48,29844.17,30690.06,31740.47,32857.99,34337.14,35551.02,36603.05,37275.99,38567.07,39523.66,40887.73,41904.45,42650.99,44033.58,44421.64,44686.54,45400.22,46132,46999,47250,47867,48357,48845,49265.61,49830.8
Austria,1941,1969.9,1998.8,2027.7,2056.6,2085.5,2114.4,2143.3,2172.2,2201.1,2230,2248.5,2267,2285.5,2304,2322.5,2341,2359.5,2378,2396.5,2415,2436.5,2458,2479.5,2501,2522.5,2544,2565.5,2587,2608.5,2630,2650.4,2670.8,2691.2,2711.6,2732,2752.4,2772.8,2793.2,2813.6,2834,2847.6,2861.2,2874.8,2888.4,2902,2915.6,2929.2,2942.8,2956.4,2970,3154,3150,3049,3158,3145,3188,3268,3347,3296,3314,3419,3411,3521,3583,3531,3615,3832,3792,3725,3894,3995,4041,4025,4216,4285,4305,4352,4551,4600,4594,4565,4694,4688,4712,4925,5062,5321,5292,5222,5244,5364,5587,5523,4584,4229,4189,4122,4073,3601,3845,4224,4586,4530,5042,5367,5440,5587,5829,5896,5716,5241,4686,4516,4546,4634,4774,5031,5673,6529,6311,6722,6349,6480,6618,2750,3118,3453,4406,5249,5907,6311,6323,6594,7261,8054,8603,9111,9416,9645,10391,10882,11078,11454,12062,12328,12930,13225,13742,14555,15537,16259,17169,17908,18583,18564,19448,20350,20293,21436,21932,21866,22254,22944,23016,23514,24039,24409,25112,26078,26930,27689.77,28072.44,28101.23,28780.76,29621.68,30413.16,31173.05,32376.33,33608.3,34796.26,35272.22,35823.59,36063.12,36957.11,37642.76,38866.85,40305.27,40964.79,39463.66,40288.35,41446,41565,41375,41338,41294,41445,42177.37,42988.07
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7068,7081.8571,7095.7143,7109.5714,7123.4286,7137.2857,7151.1429,7165,7490,7831,8010,8360,8558,8663,8995,9328,8421,7394,7319.14,5639,4315.36,3453.36,2999.32,3074.22,3347.61,3550.36,3959.78,4214.89,4498.79,4880.4,5408.52,5971.47,7553.63,10160.35,12699.5,14072.63,15384.29,16153.84,16176,16359,17133,17439,17460,16645,16522.31,16628.06
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3354,3483,3614,3747,3883,4014,4141,4262,4366,4457,4532,4594,4672,4772,4898,5058,5233,5423,5611,5812,6038,6349,6692,6975,7291,6252,6875,7084,7037,6730,6994,6875,7036,7240,7264,6972,6880,6786,6802,6751,6542,7059.96,7993.89,9102.07,9935,10695.39,11640.82,12528.39,13776.01,15263.76,17021.72,18152.96,19487.84,21391.61,23389.6,25230.9,26840.12,28884.7,30612.5,31729.57,34057.71,36372,36949,38493,39799,40483,41078,40695.72,39498.77
