Albania,948,1010,1035,1104,1169,1268,1320,1445,1557,1674,1817,1892,2015,2146,2285,2434,2592,2760,2939,3130,3333,3550,3780,4025,4132,4240,4352,4468,4586,4706,4836,4958,5088,5223,5361,5502,5647,5796,5949,6107,6267,4512,4187,4589,4970,5631,6144,5478,5972,6778,7227,7801,8131,8597,9085,9608,10130,10728,11537,11924,12366,12681,12887,13066,13262,13594
Algeria,17725,17849,18646,19054,20171,20773,22812,25399,26321,31142,33269,29200,23000,29100,30600,32700,31100,34000,38000,41600,45800,41900,50700,52300,55496,59448,63365,69108,77970,84989,86567,88747,94437,99329,104823,110282,109166,108404,106135,109715,107978,106682,108389,106111,105156,109202,113351,114598,120440,124294,129017,132888,140329,150433,156902,166159,168983,174729,178922,181785,188329,193603,199992,205591,214080,220074
Angola,19386,20102,20859,21633,21051,22739,22313,24444,25742,25858,26900,29700,28800,30397,33960,36700,38700,40600,40000,41400,44400,44500,45200,48300,45800,28300,25400,26000,27000,27700,29000,28400,27080,26190,26324,26500,24100,26800,30600,31100,32200,32600,30700,23300,23600,27200,32600,34400,34400,35496,36565,37713,43193,44618,49615,59787,70907,87350,99418,101794,105306,109385,115073,120895,125999,131490
Argentina,82229,85442,81083,85442,88963,95306,97931,102961,109276,102207,110198,118077,116177,113383,125062,136490,137412,141100,147107,159681,168230,176389,181893,192986,205503,203687,203184,215450,205978,220702,223832,210979,204329,211538,215841,201563,216316,221904,217713,204190,204329,224038,241142,256330,272276,264412,278222,299736,312794,303451,301889,289025,257819,278184,298461,323694,348999,376789,390036,374468,407023,428456,423344,431341,422714,418487
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5141,5369,5608,5730,6007,6283,6317,6031,5808,6217,5799,5121,2983,2720,2867,3065,3245,3352,3598,3716,3935,4311,4959,5656,6248,7114,8053,9160,9797,8410,8597,8996,9641,9980,10279,10279
Australia,144000,151000,152016,156758,166503,175598,181641,185280,194178,206133,214773,216253,229767,243841,260524,273830,281450,300453,318116,337463,358925,374893,385412,406306,416379,427652,444891,449548,462589,486949,496681,515869,515237,515301,550856,578741,590755,619961,647812,676303,686584,680415,697678,725636,760131,784046,816048,851458,892121,930366,959507,983003,1022552,1054114,1096655,1131186,1162399,1214282,1246748,1265421,1293814,1331222,1377456,1406879,1443578,1489772
Austria,54805,58600,58600,61200,67400,74900,80000,84900,88000,90500,98000,103000,106000,110000,117000,120000,127000,131000,136000,145000,155000,163000,173000,182000,189000,188000,197000,206000,205000,216000,221000,221000,225000,232000,233000,238000,243000,247000,255000,266000,278000,288000,294000,295367,302463,310532,317980,324991,336561,348643,360387,365254,371302,374110,384232,392458,405608,420297,426800,410586,418305,431153,434964,435956,437283,440781
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23300,24700,26300,27300,29000,30100,30900,32555,34258,31484,28028,27832,21541,16564,13310,11736,11885,12574,13828,14849,16497,18131,20046,22285,24545,31039,41731,52186,57795,63141,66291,66707,68200,72100,74100,76400
Bahrain,1273,1353,1438,1529,1625,1730,1840,1950,2080,2210,2350,2495,2653,2824,3005,3199,3401,3623,3853,4101,4380,4727,5103,5508,5982,5346,6217,6961,7500,7473,8033,8260,8790,9400,9800,9770,9990,10200,10600,10800,10800,11300,12200,13800,13500,13700,14200,14500,15200,16100,17300,17700,18300,19400,20800,22200,23627,25586,27183,27874,29083,29693,30759,32401,33861,34764
Bangladesh,18175,18430,18970,19241,19616,18580,20531,20096,19705,20756,21942,23188,23068,25514,25784,27045,27390,26800,29300,29700,31300,29900,26400,26600,30100,29700,31100,31400,33700,35300,35600,36800,37300,39100,41200,42400,44300,46100,47500,48700,51900,53700,55747,57940,60536,63424,66604,70137,73675,77668,82017,85981,90147,95354,101178,107555,114573,121798,129056,136683,145428,155043,164748,174742,185415,197107
